,0,1,2,3,4,5,6,7,8,9,10
69,0.0,0.969,1.843,2.536,2.982,3.135,2.982,2.536,1.843,0.969,0.0
70,0.0,0.921,1.753,2.412,2.836,2.982,2.836,2.412,1.753,0.921,0.0
71,0.0,0.876,1.667,2.294,2.697,2.836,2.697,2.294,1.667,0.876,0.0
72,0.0,0.833,1.585,2.182,2.565,2.697,2.565,2.182,1.585,0.833,0.0
73,0.0,0.793,1.508,2.075,2.439,2.565,2.439,2.075,1.508,0.793,0.0
74,0.0,0.754,1.434,1.973,2.32,2.439,2.32,1.973,1.434,0.754,0.0
75,0.0,0.717,1.364,1.877,2.206,2.32,2.206,1.877,1.364,0.717,0.0
76,0.0,0.682,1.297,1.785,2.098,2.206,2.098,1.785,1.297,0.682,0.0
77,0.0,0.648,1.233,1.698,1.996,2.098,1.996,1.698,1.233,0.648,0.0
78,0.0,0.617,1.173,1.615,1.898,1.996,1.898,1.615,1.173,0.617,0.0
79,0.0,0.587,1.116,1.536,1.805,1.898,1.805,1.536,1.116,0.587,0.0
80,0.0,0.558,1.061,1.46,1.717,1.805,1.717,1.46,1.061,0.558,0.0
81,0.0,0.531,1.009,1.389,1.633,1.717,1.633,1.389,1.009,0.531,0.0
82,0.0,0.505,0.96,1.321,1.553,1.633,1.553,1.321,0.96,0.505,0.0
83,0.0,0.48,0.913,1.256,1.477,1.553,1.477,1.256,0.913,0.48,0.0
84,0.0,0.456,0.868,1.195,1.405,1.477,1.405,1.195,0.868,0.456,0.0
85,0.0,0.434,0.826,1.136,1.336,1.405,1.336,1.136,0.826,0.434,0.0
86,0.0,0.413,0.785,1.081,1.27,1.336,1.27,1.081,0.785,0.413,0.0
87,0.0,0.393,0.747,1.028,1.208,1.27,1.208,1.028,0.747,0.393,0.0
88,0.0,0.373,0.71,0.977,1.149,1.208,1.149,0.977,0.71,0.373,0.0
89,0.0,0.355,0.675,0.93,1.093,1.149,1.093,0.93,0.675,0.355,0.0
90,0.0,0.338,0.642,0.884,1.039,1.093,1.039,0.884,0.642,0.338,0.0
91,0.0,0.321,0.611,0.841,0.989,1.039,0.989,0.841,0.611,0.321,0.0
92,0.0,0.305,0.581,0.8,0.94,0.989,0.94,0.8,0.581,0.305,0.0
93,0.0,0.291,0.553,0.761,0.894,0.94,0.894,0.761,0.553,0.291,0.0
94,0.0,0.276,0.526,0.723,0.85,0.894,0.85,0.723,0.526,0.276,0.0
95,0.0,0.263,0.5,0.688,0.809,0.85,0.809,0.688,0.5,0.263,0.0
96,0.0,0.25,0.475,0.654,0.769,0.809,0.769,0.654,0.475,0.25,0.0
97,0.0,0.238,0.452,0.622,0.732,0.769,0.732,0.622,0.452,0.238,0.0
98,0.0,0.226,0.43,0.592,0.696,0.732,0.696,0.592,0.43,0.226,0.0
99,0.0,0.215,0.409,0.563,0.662,0.696,0.662,0.563,0.409,0.215,0.0
100,0.0,0.204,0.389,0.535,0.629,0.662,0.629,0.535,0.389,0.204,0.0
